300
188 293
1 6 1
1 5 1
1 2 1
2 127 1
2 124 1
3 161 2
3 143 1
3 4 1
4 127 1
4 124 1
5 124 1
5 11 1
5 7 1
6 8 1
6 7 1
7 10 1
7 9 1
8 18 1
8 9 1
9 14 1
9 74 1
10 14 1
10 12 1
10 11 1
11 143 1
11 15 1
12 13 1
12 16 1
12 15 1
13 17 1
13 14 1
14 131 1
15 139 1
16 139 1
16 17 1
17 33 1
17 32 1
18 74 1
18 19 1
19 22 1
19 20 1
20 43 1
20 21 1
21 23 1
21 27 1
21 22 1
23 26 1
23 44 1
23 43 1
24 29 1
24 28 1
24 25 1
25 27 1
26 30 1
26 46 1
26 27 1
27 29 1
28 36 1
28 37 1
28 33 1
29 37 1
29 30 1
30 31 1
31 164 2
32 35 1
32 34 1
33 35 1
34 126 1
34 38 1
35 126 1
35 36 1
38 40 1
38 39 1
39 169 2
39 167 2
39 57 1
40 126 1
40 42 1
40 57 1
41 172 2
41 171 2
41 57 1
41 42 1
43 45 1
44 46 1
44 47 1
44 45 1
45 67 1
46 48 1
47 48 1
47 67 1
48 162 2
48 164 2
49 52 1
49 54 1
49 50 1
50 175 2
50 51 1
51 53 1
51 52 1
52 56 1
52 55 1
53 58 1
53 170 2
53 56 1
54 55 1
54 147 1
55 61 1
55 64 1
56 59 1
56 61 1
58 60 1
58 59 1
59 70 1
59 62 1
60 169 2
60 70 1
60 69 1
61 62 1
61 66 1
62 63 1
63 123 1
63 73 1
63 70 1
64 66 1
64 147 1
64 65 1
65 68 1
65 150 1
65 153 1
66 68 1
67 163 2
68 144 2
68 146 1
69 71 1
69 105 1
70 71 1
71 123 1
71 72 1
72 105 1
72 130 1
73 144 1
73 75 1
75 123 1
75 77 1
75 76 1
76 144 1
76 82 1
77 82 1
77 130 1
77 80 1
78 96 1
78 83 1
78 100 1
78 79 1
79 80 1
79 130 1
80 81 1
80 83 1
81 84 1
81 82 1
83 106 1
83 84 1
84 182 4
84 142 1
85 93 1
85 86 1
86 171 4
86 166 2
86 88 1
87 91 1
87 174 2
87 88 1
88 93 1
89 154 1
89 132 1
89 137 1
89 90 1
90 150 1
91 93 1
91 94 1
92 94 1
92 97 1
92 151 1
92 93 1
94 109 2
94 99 1
95 176 2
95 102 1
95 107 1
95 96 1
96 104 1
96 106 1
97 121 1
97 156 1
97 99 1
98 121 1
98 152 2
98 99 1
100 104 1
100 101 1
101 173 2
101 105 2
101 125 1
102 104 1
102 103 1
103 174 2
103 125 1
104 125 1
105 172 2
106 142 1
106 107 1
107 148 1
108 110 1
108 152 1
108 109 1
109 174 2
109 157 1
110 157 1
110 113 1
110 118 1
111 119 1
111 117 1
111 112 1
112 176 2
112 157 1
112 113 1
113 119 1
113 115 1
114 119 1
114 120 1
114 115 1
115 118 1
116 120 1
116 119 1
116 117 1
117 177 2
118 152 1
120 188 8
121 122 1
123 130 1
124 143 1
126 160 1
127 186 8
128 134 1
128 138 1
128 140 1
128 129 1
132 135 1
132 136 1
132 133 1
134 136 1
134 149 1
134 135 1
136 137 1
136 138 1
137 141 1
138 158 1
138 141 1
139 161 2
141 159 1
141 155 1
142 148 1
144 179 2
145 179 2
145 180 2
145 154 1
145 146 1
146 150 1
148 177 2
150 154 1
161 168 4
162 165 2
162 163 2
163 181 4
164 165 2
167 170 2
167 168 2
168 187 8
168 175 2
169 172 2
169 170 2
170 175 2
171 173 2
172 173 2
174 176 2
176 177 2
178 182 4
178 179 2
182 183 4
184 185 8
185 186 8
186 187 8
2
61 39 1 2
62 52 1 2
1002
1 2 546 178
14 18 0 19 2457905 44 1900113 70 1407888 95 1264395 121 1437966 146 1595139 172 898763 197 815529 223 585025 248 971774 274 1004500 299 570657 300 0
0
2 2 1400 94
15 2 0 3 1057073 27 1015043 51 822940 75 1371948 99 1756709 123 2067262 147 1705456 170 1218162 194 1284461 218 1560731 242 1259286 266 1048118 290 996506 291 0
0
3 2 1354 144
15 0 0 1 3136486 25 1756696 49 2299073 73 2267739 97 2390560 121 2214483 145 1509026 170 1113687 194 1159281 218 1069988 242 1093015 266 928586 290 706112 291 0
0
4 2 737 30
10 84 0 85 1688459 108 1970805 132 1595003 155 803916 179 466528 202 466403 226 359577 249 424440 250 0
1 3
5 2 1345 75
10 108 0 109 1458771 132 1058412 155 1450708 178 1862439 202 1721484 225 771355 248 515460 271 676591 272 0
0
6 2 607 103
11 105 0 106 1069761 130 1788655 154 1560417 178 1355459 203 1283488 227 1436026 251 1108691 275 1389968 299 1306396 300 0
1 5
7 2 927 150
14 6 0 7 1239147 33 1146997 59 1523192 84 1308813 110 1176514 136 1459034 162 2467291 188 1322315 214 1995337 239 2379776 265 2510147 291 2230872 292 0
0
8 2 1343 121
7 134 0 135 774553 161 991441 187 1083333 214 1960664 240 1981985 241 0
1 7
9 2 704 39
