move 66
stay
stay
stay
stay
stay
stay
stay
stay
stay
stay
stay
stay
move 61
execute 49 39
move 66
execute 49 39
execute 49 52
move 68
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 52
execute 670 39
execute 49 18
execute 670 39
move 64
execute 670 39
execute 380 52
execute 670 39
execute 380 52
execute 670 39
execute 380 52
execute 670 39
execute 380 52
execute 670 39
execute 380 52
execute 670 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 649 39
execute 380 52
execute 670 39
execute 380 52
execute 649 37
execute 380 11
execute 670 39
move 147
execute 670 39
execute 609 52
move 65
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 981 39
execute 609 52
execute 822 39
execute 609 52
execute 822 39
execute 609 52
execute 822 39
execute 609 49
execute 822 39
move 54
execute 822 39
execute 922 52
execute 981 13
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 39
execute 922 52
execute 822 23
execute 922 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 191 39
execute 241 52
execute 107 39
execute 241 52
execute 107 39
execute 241 52
execute 107 39
execute 922 43
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 191 39
execute 435 52
execute 107 39
execute 435 52
execute 191 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 52
execute 107 39
execute 435 27
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 39
execute 103 52
execute 107 25
execute 103 52
execute 191 10
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 103 52
execute 28 39
execute 373 52
execute 28 39
execute 373 52
execute 28 39
execute 373 52
execute 28 23
execute 373 52
move 64
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 373 52
execute 693 39
execute 103 52
execute 693 39
execute 103 52
execute 693 39
execute 373 22
execute 693 39
execute 103 26
execute 693 39
execute 241 6
execute 693 39
move 55
execute 693 39
execute 549 52
execute 693 39
execute 549 52
execute 693 39
execute 549 52
execute 693 39
execute 549 52
execute 693 39
execute 549 52
execute 693 39
execute 549 52
execute 693 39
execute 549 52
execute 693 39
execute 532 52
execute 693 39
execute 532 52
execute 693 39
execute 532 52
execute 693 36
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 392 39
execute 532 52
execute 193 39
execute 532 52
execute 193 39
execute 532 52
execute 193 39
execute 532 52
execute 193 39
execute 532 52
execute 193 39
execute 532 52
execute 193 39
execute 532 52
execute 193 39
execute 532 29
execute 193 39
move 52
execute 193 39
execute 368 52
move 66
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
