A
300
188 293
1 32.0 14.0
2 32.0 15.0
3 30.0 16.0
4 31.0 16.0
5 31.0 14.0
6 32.0 13.0
7 31.0 13.0
8 32.0 12.0
9 31.0 12.0
10 30.0 13.0
11 30.0 14.0
12 29.0 13.0
13 29.0 12.0
14 30.0 12.0
15 29.0 14.0
16 28.0 13.0
17 28.0 12.0
18 32.0 11.0
19 32.0 10.0
20 32.0 9.0
21 31.0 9.0
22 31.0 10.0
23 31.0 8.0
24 29.0 10.0
25 30.0 10.0
26 30.0 8.0
27 30.0 9.0
28 28.0 10.0
29 29.0 9.0
30 29.0 8.0
31 28.0 8.0
32 27.0 12.0
33 28.0 11.0
34 26.0 12.0
35 27.0 11.0
36 27.0 10.0
37 28.0 9.0
38 25.0 12.0
39 24.0 12.0
40 25.0 11.0
41 24.0 10.0
42 25.0 10.0
43 32.0 8.0
44 31.0 7.0
45 32.0 7.0
46 30.0 7.0
47 31.0 6.0
48 30.0 6.0
49 19.0 16.0
50 20.0 16.0
51 20.0 15.0
52 19.0 15.0
53 20.0 14.0
54 18.0 16.0
55 18.0 15.0
56 19.0 14.0
57 24.0 11.0
58 20.0 13.0
59 19.0 13.0
60 20.0 12.0
61 18.0 14.0
62 18.0 13.0
63 18.0 12.0
64 17.0 15.0
65 16.0 15.0
66 17.0 14.0
67 32.0 6.0
68 16.0 14.0
69 20.0 11.0
70 19.0 12.0
71 19.0 11.0
72 19.0 10.0
73 17.0 12.0
74 31.0 11.0
75 17.0 11.0
76 16.0 11.0
77 17.0 10.0
78 18.0 8.0
79 18.0 9.0
80 17.0 9.0
81 16.0 9.0
82 16.0 10.0
83 17.0 8.0
84 16.0 8.0
85 24.0 3.0
86 24.0 4.0
87 22.0 4.0
88 23.0 4.0
89 14.0 16.0
90 15.0 16.0
91 22.0 3.0
92 23.0 2.0
93 23.0 3.0
94 22.0 2.0
95 18.0 6.0
96 18.0 7.0
97 23.0 1.0
98 22.0 0.0
99 22.0 1.0
100 19.0 8.0
101 20.0 8.0
102 19.0 6.0
103 20.0 6.0
104 19.0 7.0
105 20.0 10.0
106 17.0 7.0
107 17.0 6.0
108 20.0 1.0
109 20.0 2.0
110 19.0 1.0
111 17.0 2.0
112 18.0 2.0
113 18.0 1.0
114 17.0 0.0
115 18.0 0.0
116 16.0 1.0
117 16.0 2.0
118 19.0 0.0
119 17.0 1.0
120 16.0 0.0
121 23.0 0.0
122 24.0 0.0
123 18.0 11.0
124 31.0 15.0
125 20.0 7.0
126 26.0 11.0
127 32.0 16.0
128 12.0 18.0
129 12.0 19.0
130 18.0 10.0
131 30.0 11.0
132 14.0 17.0
133 15.0 17.0
134 13.0 18.0
135 14.0 18.0
136 13.0 17.0
137 13.0 16.0
138 12.0 17.0
139 28.0 14.0
140 11.0 18.0
141 12.0 16.0
142 16.0 7.0
143 30.0 15.0
144 16.0 12.0
145 14.0 14.0
146 15.0 14.0
147 17.0 16.0
148 16.0 6.0
149 13.0 19.0
150 15.0 15.0
151 24.0 2.0
152 20.0 0.0
153 16.0 16.0
154 14.0 15.0
155 11.0 16.0
156 24.0 1.0
157 19.0 2.0
158 11.0 17.0
159 12.0 15.0
160 26.0 10.0
161 28.0 16.0
162 30.0 4.0
163 32.0 4.0
164 28.0 6.0
165 28.0 4.0
166 26.0 4.0
167 24.0 14.0
168 24.0 16.0
169 22.0 12.0
170 22.0 14.0
171 24.0 8.0
172 22.0 10.0
173 22.0 8.0
174 20.0 4.0
175 22.0 16.0
176 18.0 4.0
177 16.0 4.0
178 12.0 12.0
179 14.0 12.0
180 12.0 14.0
181 32.0 0.0
182 12.0 8.0
183 8.0 8.0
184 24.0 32.0
185 32.0 32.0
186 32.0 24.0
187 24.0 24.0
188 8.0 0.0
171 173 2
170 175 2
169 172 2
169 170 2
168 187 8
168 175 2
167 170 2
167 168 2
164 165 2
163 181 4
162 165 2
162 163 2
161 168 4
150 154 1
148 177 2
146 150 1
145 179 2
145 180 2
145 154 1
145 146 1
144 179 2
142 148 1
141 159 1
141 155 1
139 161 2
138 158 1
138 141 1
137 141 1
136 137 1
136 138 1
134 136 1
134 149 1
134 135 1
132 135 1
132 136 1
132 133 1
128 134 1
128 138 1
128 140 1
128 129 1
127 186 8
126 160 1
124 143 1
123 130 1
121 122 1
120 188 8
118 152 1
117 177 2
116 120 1
116 119 1
116 117 1
115 118 1
114 119 1
114 120 1
114 115 1
113 119 1
113 115 1
112 176 2
112 157 1
112 113 1
111 119 1
111 117 1
111 112 1
110 157 1
110 113 1
110 118 1
109 174 2
109 157 1
108 110 1
108 152 1
108 109 1
107 148 1
106 142 1
106 107 1
105 172 2
104 125 1
103 174 2
103 125 1
102 104 1
102 103 1
101 173 2
101 105 2
101 125 1
100 104 1
100 101 1
98 121 1
98 152 2
98 99 1
95 176 2
95 102 1
95 107 1
95 96 1
94 109 2
94 99 1
92 94 1
92 97 1
92 151 1
92 93 1
91 93 1
91 94 1
90 150 1
89 154 1
89 132 1
89 137 1
89 90 1
88 93 1
87 91 1
87 174 2
87 88 1
86 171 4
86 166 2
86 88 1
85 93 1
85 86 1
84 182 4
84 142 1
83 106 1
83 84 1
81 84 1
81 82 1
80 81 1
80 83 1
79 80 1
79 130 1
78 96 1
78 83 1
78 100 1
78 79 1
77 82 1
77 130 1
77 80 1
76 144 1
76 82 1
75 123 1
75 77 1
75 76 1
73 144 1
73 75 1
72 105 1
72 130 1
71 123 1
71 72 1
70 71 1
69 71 1
69 105 1
68 144 2
68 146 1
67 163 2
66 68 1
65 68 1
65 150 1
65 153 1
64 66 1
64 147 1
64 65 1
63 123 1
63 73 1
63 70 1
62 63 1
61 62 1
61 66 1
60 169 2
60 70 1
60 69 1
59 70 1
59 62 1
58 60 1
58 59 1
56 59 1
56 61 1
55 61 1
55 64 1
54 55 1
54 147 1
53 58 1
53 170 2
53 56 1
52 56 1
52 55 1
51 53 1
51 52 1
50 175 2
50 51 1
49 52 1
49 54 1
49 50 1
48 162 2
48 164 2
47 48 1
47 67 1
46 48 1
45 67 1
44 46 1
44 47 1
44 45 1
43 45 1
41 172 2
41 171 2
41 57 1
41 42 1
40 126 1
40 42 1
40 57 1
39 169 2
39 167 2
39 57 1
38 40 1
38 39 1
35 126 1
35 36 1
34 126 1
34 38 1
33 35 1
32 35 1
32 34 1
31 164 2
30 31 1
29 37 1
29 30 1
28 36 1
28 37 1
28 33 1
27 29 1
26 30 1
26 46 1
26 27 1
25 27 1
24 29 1
24 28 1
24 25 1
23 26 1
23 44 1
23 43 1
21 23 1
21 27 1
21 22 1
20 43 1
20 21 1
19 22 1
19 20 1
18 74 1
18 19 1
17 33 1
17 32 1
186 187 8
16 139 1
16 17 1
185 186 8
15 139 1
184 185 8
14 131 1
13 17 1
13 14 1
182 183 4
12 13 1
12 16 1
12 15 1
11 143 1
11 15 1
10 14 1
10 12 1
10 11 1
9 14 1
9 74 1
8 18 1
8 9 1
178 182 4
178 179 2
7 10 1
7 9 1
6 8 1
6 7 1
176 177 2
5 124 1
5 11 1
5 7 1
4 127 1
4 124 1
174 176 2
3 161 2
3 143 1
3 4 1
97 121 1
97 156 1
97 99 1
2 127 1
2 124 1
96 104 1
96 106 1
172 173 2
1 6 1
1 5 1
1 2 1
2
61 39 1 2
62 52 1 2
1002
1 2 546 178 0.9210355295833195 0.03146471271612348 0
14 18 0 19 2457905 44 1900113 70 1407888 95 1264395 121 1437966 146 1595139 172 898763 197 815529 223 585025 248 971774 274 1004500 299 570657 300 0
0
2 2 1400 94 0.9173437858517061 0.1388582350706968 0
15 2 0 3 1057073 27 1015043 51 822940 75 1371948 99 1756709 123 2067262 147 1705456 170 1218162 194 1284461 218 1560731 242 1259286 266 1048118 290 996506 291 0
0
3 2 1354 144 0.9232266429468631 0.10103522975557994 0
15 0 0 1 3136486 25 1756696 49 2299073 73 2267739 97 2390560 121 2214483 145 1509026 170 1113687 194 1159281 218 1069988 242 1093015 266 928586 290 706112 291 0
0
4 2 737 30 0.9146023617799656 0.09807602246095788 0
10 84 0 85 1688459 108 1970805 132 1595003 155 803916 179 466528 202 466403 226 359577 249 424440 250 0
1 3
5 2 1345 75 0.91282178011375 0.04113246307438017 0
10 108 0 109 1458771 132 1058412 155 1450708 178 1862439 202 1721484 225 771355 248 515460 271 676591 272 0
0
6 2 607 103 0.9135271585800804 0.08184253611964139 0
11 105 0 106 1069761 130 1788655 154 1560417 178 1355459 203 1283488 227 1436026 251 1108691 275 1389968 299 1306396 300 0
1 5
7 2 927 150 0.9277437439654079 0.03538216686747681 0
14 6 0 7 1239147 33 1146997 59 1523192 84 1308813 110 1176514 136 1459034 162 2467291 188 1322315 214 1995337 239 2379776 265 2510147 291 2230872 292 0
0
8 2 1343 121 0.9130211128313017 0.09885706134232813 0
7 134 0 135 774553 161 991441 187 1083333 214 1960664 240 1981985 241 0
1 7
9 2 704 39 0.926332130116122 0.08486011764583062 0
8 89 0 90 1384099 117 866998 143 715138 170 794659 196 1217733 223 1408833 224 0
0
10 2 995 149 0.9207544497712273 0.11074107774907829 0
14 17 0 18 1746416 44 1381443 69 1700671 95 1972337 121 2134958 146 2020003 172 1267462 197 832955 223 1009437 249 984454 274 1011822 300 555302 301 0
0
11 2 1025 89 0.920199643076768 0.02975602287479675 0
14 32 0 33 1676462 57 2207850 81 1439945 105 1545978 129 1196537 153 733937 178 885197 202 1512799 226 2670540 250 1795775 274 1898137 298 1669140 299 0
0
12 2 630 81 0.9223108724918497 0.04772684081602265 0
11 77 0 78 1513954 103 2131737 127 2936782 152 1384095 177 1714799 202 1320032 227 1421265 251 1262318 276 803603 277 0
1 11
13 2 908 46 0.9225799239251311 0.03216794691099024 0
12 45 0 46 782235 71 1275485 97 1841073 122 2147538 148 1755508 173 1641180 199 1074245 224 1016709 250 1153217 275 1543862 276 0
2 11 12
14 2 874 20 0.9135676052025706 0.08023022862673482 0
13 4 0 5 933603 29 937689 54 1077154 78 1434633 102 2298789 127 1799519 151 1461349 175 811231 199 1154139 224 983445 248 891306 249 0
0
15 2 910 137 0.9187173309053914 0.11324139416634493 0
11 4 0 5 1615656 31 1495377 57 1035112 83 1059516 109 1397734 135 1155856 161 1353871 187 2736211 213 1935115 214 0
1 14
16 2 1419 25 0.9216509990966688 0.06215600847282283 0
9 43 0 44 2146366 70 1385402 95 1591194 121 1377640 147 1606457 172 1452486 198 1499862 199 0
0
17 2 936 142 0.9196502399215372 0.02575382899398692 0
7 168 0 169 518474 196 942980 223 1981635 249 1329686 276 1428154 277 0
1 16
18 2 1442 151 0.9149302201877647 0.03241592329473661 0
